Address,bMonsters,rMonsters
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1300037?gameHash=02fe6775b364438e,3,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1370204?gameHash=5adac764980005c4,3,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1370215?gameHash=0a16bac145768a03,4,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1380076?gameHash=705138b72cfafb52,2,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1380080?gameHash=55858452973d8c9d,3,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1380103?gameHash=0f23e9f0cf5aacf1,1,3
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1380107?gameHash=664adb12b0c00ce8,3,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1380153?gameHash=4999770b129031e7,3,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1380165?gameHash=521dac7f3b77d6d1,1,3
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1380220?gameHash=78598380f7e3c9c8,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1380222?gameHash=912695bf4710aad9,2,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1380234?gameHash=1bd72440ed6e6f19,2,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1380238?gameHash=867ab52b79e14742,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1390044?gameHash=97943c1bf70d2419,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1390076?gameHash=641a42d27aad83ca,2,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1390258?gameHash=8cc456bc3b4310cf,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1390260?gameHash=18c60f81ab39f561,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1400066?gameHash=8fdc8115b5ef2aa9,2,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1400215?gameHash=d92f0e26e1077190,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1410051?gameHash=2fce932098795fa5,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1410068?gameHash=c8f67ecdfcfe2ce9,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1410279?gameHash=b6443944c0bd3187,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1410292?gameHash=c8f790cb2704bd89,2,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420088?gameHash=c8a9eda8c69ffeac,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420114?gameHash=a1dbe92b90c414ba,2,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420202?gameHash=605d6fcbe289f58e,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420219?gameHash=7dcb8d6c1af50ca4,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420238?gameHash=95faa9f6c39c8ec8,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420248?gameHash=635a7b6c50acc3eb,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420263?gameHash=5c6ebb4578e2afd7,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420265?gameHash=a67a3569206dd2d7,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420286?gameHash=9c4ef3b2814d8592,1,2
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1420306?gameHash=744f3012f7172379,3,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1430024?gameHash=6a4050376d44b95c,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1440057?gameHash=c0db674dad2444ec,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1440060?gameHash=f04ca7f7646c7969,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1440063?gameHash=257e4788e283d842,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1440081?gameHash=8c66487afc8d6a10,1,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1440083?gameHash=42b317032824a74c,2,1
http://matchhistory.br.leagueoflegends.com/pt/#match-details/TRSA1/1440086?gameHash=e3106f9f2eb958a7,1,2
http://matchhistory.eune.leagueoflegends.com/en/#match-details/TRLH3/1001510083?gameHash=d780e60329e4d10b,2,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/10351?gameHash=e95971fae72201b6,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/110088?gameHash=9c1d62786fd1121d,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/20519?gameHash=e55a961337122f31,1,2
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/20568?gameHash=14e8ea795683a593,1,1
http://matchhistory.euw.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/30247?gameHash=190afafb5a5a7939,2,1
