,Address,golddiff,rResult,bResult,rKills,bKills,rBOTLANE_kills,rMIDLANE_kills,rTOPLANE_kills,bBOTLANE_kills,bMIDLANE_kills,bTOPLANE_kills
2946,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/150261?gameHash=6f0070b9a9e61888,-1456,1,0,2,2,1,0,0,0,0,1
2947,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220034?gameHash=2d51126068b7640c,37,0,1,6,6,1,0,0,1,0,1
2948,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220105?gameHash=f26addf8551260c6,-2556,1,0,2,3,0,0,1,1,1,0
2949,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220105?gameHash=f26addf8551260c6,-2556,1,0,2,3,0,1,0,1,1,0
2950,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230304?gameHash=f169968754593496,921,0,1,2,4,0,0,1,1,0,0
2951,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230409?gameHash=3372d5029449902a,94,1,0,6,2,1,0,0,1,0,1
2952,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230409?gameHash=3372d5029449902a,94,1,0,6,2,0,0,1,1,0,1
2953,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230412?gameHash=c5e7eae71c7d6364,1479,0,1,2,6,0,0,1,1,0,0
2954,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/240090?gameHash=25d5ff329d7a6c51,1642,1,0,3,2,1,0,0,1,1,1
2955,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/260136?gameHash=8ded36fd99fb1ffa,980,1,0,1,2,1,0,0,0,0,1
2956,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/260143?gameHash=8d5b66cf464d4291,-1653,0,1,4,2,0,1,0,1,0,2
2957,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/260143?gameHash=8d5b66cf464d4291,-1653,0,1,4,2,1,0,0,1,0,2
2958,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/260143?gameHash=8d5b66cf464d4291,-1653,0,1,4,2,0,0,1,1,0,2
2959,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/280017?gameHash=f08f65733d2867a8,494,0,1,1,3,0,0,1,1,0,0
2960,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/280118?gameHash=629283debb5bf26a,2252,0,1,1,6,0,0,1,1,0,0
2961,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/280135?gameHash=2dab48c0c25fe5f2,-20,1,0,3,1,0,0,1,0,1,1
