,Address,golddiff,rResult,bResult,rKills,bKills,rBOTLANE_kills,rMIDLANE_kills,rTOPLANE_kills,bBOTLANE_kills,bMIDLANE_kills,bTOPLANE_kills,bMonsters,rMonsters
4902,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001790257?gameHash=9fc98a1d5102dca8,-4169.0,1,0,5,2,0,1,0,3,0,2,1,2
4903,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001790257?gameHash=9fc98a1d5102dca8,-4169.0,1,0,5,2,0,0,1,3,0,2,1,2
4904,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001790257?gameHash=9fc98a1d5102dca8,-4169.0,1,0,5,2,0,1,0,3,0,2,1,2
4905,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002130305?gameHash=9fd45b05dcc72ff3,4992.0,0,1,2,7,0,0,1,1,1,0,1,1
4906,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002130304?gameHash=c66d57bd7104afe3,3611.0,0,1,2,7,0,0,1,1,1,1,1,1
4907,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002310175?gameHash=89056e0e99252c06,1428.0,1,0,3,3,1,0,0,0,1,0,2,1
4908,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002300163?gameHash=c2e547ef21c33d27,-2048.0,0,1,7,2,0,1,0,2,0,1,1,1
4909,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002300163?gameHash=c2e547ef21c33d27,-2048.0,0,1,7,2,1,0,0,2,0,1,1,1
4910,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002300163?gameHash=c2e547ef21c33d27,-2048.0,0,1,7,2,0,0,1,2,0,1,1,1
4911,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002300192?gameHash=a6619d1be7620266,-2147.0,0,1,3,1,0,1,0,1,0,1,1,2
4912,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002300192?gameHash=a6619d1be7620266,-2147.0,0,1,3,1,0,0,1,1,0,1,1,2
4913,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002300192?gameHash=a6619d1be7620266,-2147.0,0,1,3,1,1,0,0,1,0,1,1,2
4914,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002310217?gameHash=026cd768f96254fd,708.0,0,1,2,8,1,0,0,0,0,1,1,2
4915,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002310222?gameHash=028c3e5e6aad16a4,-1120.0,0,1,2,1,1,0,0,1,0,1,1,1
4916,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002310222?gameHash=028c3e5e6aad16a4,-1120.0,0,1,2,1,0,1,0,1,0,1,1,1
4917,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002310239?gameHash=ee815eb58e2be71f,423.0,1,0,7,7,0,0,1,1,1,1,1,2
4918,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002310239?gameHash=ee815eb58e2be71f,423.0,1,0,7,7,0,0,1,1,1,1,1,2
4919,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002310239?gameHash=ee815eb58e2be71f,423.0,1,0,7,7,1,0,0,1,1,1,1,2
4920,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570091?gameHash=6dfdd60b74eaf91c,937.0,0,1,2,1,1,0,0,1,1,2,2,3
4921,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570091?gameHash=6dfdd60b74eaf91c,937.0,0,1,2,1,0,0,1,1,1,2,2,3
4922,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570095?gameHash=632353b6f09d27b8,-4008.0,1,0,7,3,0,1,0,1,0,1,3,2
4923,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570095?gameHash=632353b6f09d27b8,-4008.0,1,0,7,3,0,0,1,1,0,1,3,2
4924,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1001570095?gameHash=632353b6f09d27b8,-4008.0,1,0,7,3,1,0,0,1,0,1,3,2
